,A,B,C
37,ENTY,religion,"[in, what, religion, was, isis, the, nature, goddess, ?]"
38,LOC,other,"[where, do, the, adventures, of, ``, the, swiss, family, robinson, '', take, place, ?]"
39,ENTY,animal,"[what, relative, of, the, racoon, is, sometimes, known, as, the, cat-bear, ?]"
40,DESC,manner,"[how, can, i, register, my, website, in, yahoo, for, free, ?]"
41,ENTY,other,"[what, was, cash-conscious, colonel, edwin, l., drake, the, first, to, drill, ?]"
42,NUM,count,"[how, many, people, in, the, world, speak, french, ?]"
43,NUM,count,"[how, many, inches, over, six, feet, is, the, venus, de, milo, ?]"
44,DESC,manner,"[how, do, they, find, or, choose, witnesses, to, an, execution, ?]"
45,HUM,ind,"[what, 1920s, cowboy, star, rode, tony, the, wonder, horse, ?]"
46,ENTY,food,"[what, cocktail, inspired, john, doxat, to, write, the, book, stirred-not, shaken, ?]"
47,HUM,gr,"[what, isps, exist, in, the, caribbean, ?]"
48,DESC,manner,"[how, do, you, ask, a, total, stranger, out, on, a, date, ?]"
49,ENTY,other,"[what, weapon, is, the, mythological, character, apollo, most, proficient, with, ?]"
50,LOC,country,"[what, country, do, the, galapagos, islands, belong, to, ?]"
51,DESC,def,"[what, is, ethology, ?]"
52,HUM,ind,"[who, was, the, prophet, of, the, muslim, people, ?]"
53,DESC,desc,"[where, did, the, term, ``, 86ed, '', come, from, ?]"
54,HUM,ind,"[who, is, snoopy, 's, arch-enemy, ?]"
55,DESC,def,"[what, is, the, nature, of, learning, ?]"
56,ENTY,color,"[what, 's, the, only, color, johnny, cash, wears, on, stage, ?]"
57,ENTY,termeq,"[what, 's, the, term, for, a, young, fox, ?]"
58,LOC,state,"[what, u.s., state, lived, under, six, flags, ?]"
59,DESC,def,"[what, is, the, kashmir, issue, ?]"
60,LOC,other,"[where, is, the, loop, ?]"
61,DESC,def,"[what, does, ``, extended, definition, '', mean, and, how, would, one, write, a, paper, on, it, ?]"
62,LOC,country,"[what, country, 's, capital, is, tirana, ?]"
63,DESC,def,"[what, is, titanium, ?]"
64,HUM,ind,"[who, do, herb, and, tootsie, live, next, door, to, ?]"
65,LOC,city,"[which, city, has, the, oldest, relationship, as, a, sisterðcity, with, los, angeles, ?]"
66,DESC,def,"[what, is, a, caldera, ?]"
67,DESC,reason,"[why, do, people, get, calluses, ?]"
68,LOC,other,"[what, are, the, names, of, the, tourist, attractions, in, reims, ?]"
69,DESC,reason,"[what, are, cushman, and, wakefield, known, for, ?]"
70,LOC,other,"[what, body, of, water, does, the, danube, river, flow, into, ?]"
71,HUM,ind,"[who, is, the, founder, of, scientology, ?]"
72,ENTY,other,"[what, does, the, six-footed, musca, domestica, become, when, it, enters, a, house, ?]"
73,DESC,desc,"[what, is, the, history, of, skateboarding, ?]"
74,HUM,ind,"[who, starred, in, singing, in, the, rain, and, the, singing, nun, ?]"
75,DESC,manner,"[how, do, i, make, fuel, bricks, from, recycled, newspaper, ?]"
76,HUM,ind,"[what, 19th-century, painter, died, in, the, marquesas, islands, ?]"
77,ENTY,body,"[the, corpus, callosum, is, in, what, part, of, the, body, ?]"
78,DESC,manner,"[how, do, i, log, on, to, home, page, at, headquarters, u.s., european, command, ?]"
79,LOC,country,"[what, country, did, the, nazis, occupy, for, 1, ,, cd, nns, in, nnp, nnp, nnp, .]"
80,ENTY,other,"[what, is, nebraska, 's, most, valuable, resource, ?]"
81,NUM,count,"[how, many, species, of, the, great, white, shark, are, there, ?]"
82,DESC,desc,"[what, is, the, origin, of, head, lice, ?]"
83,LOC,state,"[what, is, the, nickname, for, the, state, of, mississippi, ?]"
84,ENTY,animal,"[what, was, the, first, domesticated, bird, ?]"
85,NUM,count,"[how, many, villi, are, found, in, the, small, intestine, ?]"
86,LOC,country,"[what, country, did, king, wenceslas, rule, ?]"
87,ENTY,dismed,"[what, is, a, fear, of, shadows, ?]"
88,HUM,ind,"[who, were, the, five, marx, brothers, ?]"
89,NUM,date,"[in, which, year, was, new, zealand, excluded, from, the, anzus, alliance, ?]"
90,NUM,date,"[when, did, cnn, begin, broadcasting, ?]"
91,DESC,reason,"[what, causes, the, body, to, shiver, in, cold, temperatures, ?]"
92,DESC,def,"[what, are, bear, and, bull, markets, ?]"
93,ENTY,cremat,"[what, j.r.r., tolkien, book, features, bilbo, baggins, as, the, central, character, ?]"
94,DESC,def,"[what, is, ``, dew, point, '', ?]"
95,DESC,def,"[what, is, the, meaning, of, jesus, ?]"
96,HUM,gr,"[what, company, 's, logo, is, a, ``, w, '', in, a, circle, ?]"
97,DESC,def,"[what, is, the, definition, of, a, cascade, ?]"
98,NUM,date,"[when, did, rococo, painting, and, architecture, flourish, ?]"
99,LOC,country,"[what, country, 's, national, passenger, rail, system, is, called, via, ?]"
100,HUM,ind,"[who, invented, make-up, ?]"
101,DESC,desc,"[what, is, the, origin, of, the, word, ``, attic, '', ?]"
102,DESC,desc,"[what, did, delilah, do, to, samson, 's, hair, ?]"
103,ENTY,animal,"[what, kind, of, animals, were, in, the, paleozoic, era, ?]"
104,HUM,ind,"[which, of, the, following, was, rhodes, scholar, ?]"
105,HUM,ind,"[who, comprised, the, now-defunct, comic, book, team, known, as, the, champions, ?]"
106,DESC,manner,"[how, do, you, make, a, paintball, ?]"
107,LOC,state,"[what, u.s., state, is, fort, knox, in, ?]"
108,ENTY,animal,"[what, is, a, female, rabbit, called, ?]"
109,LOC,mount,"[where, is, the, highest, point, in, japan, ?]"
110,DESC,desc,"[where, do, chihuahuas, come, from, ?]"
111,LOC,other,"[where, does, barney, rubble, go, to, work, after, he, drops, fred, off, in, the, ``, flintstones, '', cartoon, series, ?]"
112,LOC,other,"[what, are, the, world, 's, four, oceans, ?]"
113,ENTY,cremat,"[what, 's, the, only, work, by, michelangelo, that, bears, his, signature, ?]"
114,ENTY,animal,"[what, is, the, largest, snake, in, the, world, ?]"
115,ENTY,cremat,"[in, what, medium, is, stuart, hamblen, considered, to, be, the, first, singing, cowboy, ?]"
116,LOC,other,"[where, on, the, internet, can, i, find, a, song, lyrics, database, similar, to, the, international, lyrics, server, ?]"
117,NUM,money,"[how, much, money, does, a, back, injury, lawsuit, get, ?]"
118,ENTY,termeq,"[what, 's, the, common, name, for, acetylsalicylic, acid, ?]"
119,DESC,def,"[what, does, the, georgetown, ``, hoya, '', mean, ?]"
120,LOC,other,"[where, can, i, find, a, list, of, ``, classic, '', books, 5th, and, 6th, graders, should, read, ?]"
121,ENTY,product,"[which, two, products, use, a, tiger, as, their, symbol, ?]"
122,DESC,manner,"[how, is, the, election, of, a, new, pope, announced, to, the, world, ?]"
123,NUM,period,"[how, long, does, it, take, for, your, blood, to, make, one, complete, trip, through, the, body, ?]"
124,DESC,manner,"[how, do, chickens, have, baby, chicks, ?]"
125,DESC,desc,"[what, is, the, historical, relationship, of, catholic, church, and, bingo, ?]"
126,DESC,manner,"[how, was, the, element, calcium, named, ?]"
127,HUM,ind,"[what, crooner, joined, the, andrews, sisters, for, pistol, packin, mama, ?]"
128,HUM,gr,"[what, piano, company, claims, its, product, is, the, ``, instrument, of, the, immortals, '', ?]"
129,NUM,date,"[when, did, the, bounty, mutiny, take, place, ?]"
130,ENTY,cremat,"[what, novel, inspired, the, movie, bladerunner, ?]"
131,DESC,def,"[what, is, a, transistor, ?]"
132,ENTY,cremat,"[what, is, a, film, starring, jude, law, ?]"
133,ENTY,animal,"[what, hollywood, dog, died, in, the, arms, of, jean, harlow, in, 1932, ?]"
134,ENTY,substance,"[what, are, the, most, common, elements, in, the, earth, 's, crust, ?]"
135,NUM,money,"[how, much, would, it, cost, to, purchase, a, 2-foot-square, party, tent, ,, with, sides, ,, ?]"
136,HUM,ind,"[what, actress, has, received, the, most, oscar, nominations, ?]"
137,DESC,def,"[what, are, equity, securities, ?]"
138,DESC,def,"[what, is, gymnophobia, ?]"
139,NUM,count,"[how, many, years, do, fossils, take, to, form, ?]"
140,LOC,other,"[where, is, the, orinoco, ?]"
141,ENTY,animal,"[what, was, the, name, of, the, ``, little, rascals, '', dog, ?]"
142,LOC,city,"[what, city, boasts, penn, 's, landing, ,, on, the, banks, of, the, delaware, river, ?]"
143,ENTY,cremat,"[what, broadway, musical, was, inspired, by, cervantes, 's, don, quixote, ?]"
144,DESC,desc,"[what, is, the, origin, of, the, word, ,, jj, .]"
145,NUM,count,"[how, many, hostages, were, killed, in, the, entebbe, raid, ?]"
146,DESC,manner,"[how, you, can, raise, your, iq, ?]"
147,ABBR,exp,"[what, does, inri, stand, for, when, used, on, jesus, ', cross, ?]"
148,HUM,gr,"[who, produces, spumante, ?]"
149,HUM,ind,"[who, earns, their, money, the, hard, way, ?]"
150,HUM,ind,"[who, founded, the, people, 's, temple, commune, ?]"
151,HUM,ind,"[what, athlete, makes, the, most, money, from, sports, merchandise, sales, ?]"
152,NUM,count,"[how, many, bends, are, there, in, a, standard, paper, clip, ?]"
153,HUM,ind,"[who, discovered, electricity, ?]"
154,ENTY,body,"[what, part, of, your, body, contains, the, corpus, callosum, ?]"
155,HUM,ind,"[who, was, the, first, american, in, space, ?]"
156,LOC,country,"[what, two, south, american, countries, do, n't, border, brazil, ?]"
157,ENTY,cremat,"[what, album, put, the, beatles, on, the, cover, of, time, in, 1967, ?]"
158,ENTY,cremat,"[what, poem, contains, the, line, ,, ``, grow, old, with, me, the, best, is, yet, to, be, '', .]"
159,DESC,def,"[what, is, a, dental, root, canal, ?]"
160,ENTY,event,"[what, war, did, the, wanna-go-home, riots, occur, after, ?]"
161,NUM,date,"[what, is, the, busiest, air, travel, season, ?]"
162,ENTY,body,"[what, 's, the, colored, part, of, the, eye, called, ?]"
163,DESC,def,"[what, are, hook, worms, ?]"
164,LOC,other,"[where, is, the, rose, bowl, played, ?]"
165,HUM,gr,"[which, japanese, car, maker, had, its, biggest, percentage, of, sale, in, the, domestic, market, ?]"
166,HUM,ind,"[who, is, the, mayor, of, marbella, ?]"
167,LOC,other,"[what, sun-blasted, ,, 14-mile, wide, valley, is, just, north, of, the, mojave, desert, ?]"
168,NUM,date,"[in, what, year, did, thatcher, become, prime, minister, ?]"
169,NUM,count,"[how, many, months, does, it, take, the, moon, to, revolve, around, the, earth, ?]"
170,LOC,other,"[where, are, the, 49, steps, ?]"
171,NUM,date,"[in, what, year, was, de, gaulle, elected, president, of, france, ?]"
172,HUM,ind,"[who, sings, the, themes, for, ``, dawson, 's, creek, '', and, ``, felicity, '', ?]"
173,HUM,ind,"[who, directed, ``, jaws, '', ?]"
174,ENTY,cremat,"[on, what, t.v., show, could, tom, terrific, be, found, ?]"
175,HUM,gr,"[what, indian, tribe, is, f, troop, perpetually, doing, battle, with, ?]"
176,DESC,desc,"[where, did, indian, pudding, come, from, ?]"
177,DESC,reason,"[why, do, some, clothing, labels, say, ``, use, a, nonchlorine, bleach, '', ?]"
178,NUM,count,"[how, many, colonies, were, involved, in, the, american, revolution, ?]"
179,LOC,city,"[what, is, the, name, of, the, city, that, maurizio, pellegrin, lives, in, ?]"
180,LOC,other,"[where, can, i, find, pictorial, directions, on, how, to, build, a, very, simple, treehouse, ?]"
181,ENTY,sport,"[what, game, 's, board, shows, the, territories, of, irkutsk, ,, yakutsk, and, kamchatka, ?]"
182,HUM,ind,"[what, is, the, name, of, the, managing, director, of, apricot, computer, ?]"
183,HUM,title,"[what, is, the, occupation, of, nicholas, cage, ?]"
184,DESC,reason,"[why, do, horseshoes, bring, luck, ?]"
185,DESC,def,"[what, is, the, 401, ,, k, ,, plan, ?]"
186,DESC,reason,"[what, causes, pneumonia, ?]"
187,NUM,date,"[what, are, the, three, winter, months, in, the, southern, hemisphere, ?]"
188,DESC,def,"[what, does, gringo, mean, ?]"
189,LOC,country,"[what, country, contains, africa, 's, northernmost, point, ?]"
190,ENTY,dismed,"[what, therapy, attempts, to, elicit, the, ``, primal, scream, '', ?]"
191,LOC,other,"[where, is, the, kalahari, desert, ?]"
192,HUM,gr,"[which, ventura, county, police, department, seized, the, largest, cocaine, shipment, in, it, 's, history, ?]"
193,LOC,city,"[what, city, is, sometimes, called, gotham, ?]"
194,ENTY,body,"[what, dangles, over, the, tongue, from, the, palate, ?]"
195,HUM,ind,"[who, created, dennis, the, menace, ?]"
196,HUM,ind,"[what, dummy, received, an, honorary, degree, from, northwestern, university, ?]"
197,NUM,date,"[when, was, the, first, wall, street, journal, published, ?]"
198,LOC,country,"[what, countries, have, the, largest, areas, of, forest, ?]"
199,DESC,manner,"[how, do, i, start, a, web, based, business, ?]"
200,HUM,ind,"[name, alvin, 's, brothers]"
201,DESC,def,"[what, is, eagle, 's, syndrome, styloid, process, ?]"
202,DESC,manner,"[how, did, jayne, mansfield, die, ?]"
203,NUM,date,"[when, did, the, royal, wedding, of, prince, andrew, and, fergie, take, place, ?]"
204,HUM,ind,"[what, actor, said, in, a, day, at, the, races]"
205,HUM,ind,"[what, explorer, was, nicknamed, iberia, 's, pilot, ?]"
206,NUM,date,"[cnn, began, broadcasting, in, what, year, ?]"
207,ENTY,termeq,"[what, is, a, ball, that, hits, the, foul, pole, called, ?]"
208,DESC,reason,"[what, makes, hamburgers, taste, like, steakburgers, ?]"
209,HUM,gr,"[which, company, created, the, internet, browser, mosaic, ?]"
210,ENTY,event,"[what, are, the, rites, accompanying, the, circumcision, of, a, newly, born-child, in, judaism, called, ?]"
211,ENTY,other,"[what, was, the, education, system, in, the, 1960, 's, ?]"
212,LOC,city,"[what, south, american, city, has, the, world, 's, highest, commercial, landing, field, ?]"
213,DESC,manner,"[how, can, i, find, out, which, cities, have, cable-modem, access, ?]"
214,DESC,reason,"[what, is, betsy, ross, famous, for, ?]"
215,NUM,count,"[how, many, species, of, sharks, are, there, ?]"
216,DESC,def,"[what, is, ``, snoogans, '', ?]"
217,NUM,count,"[how, many, people, are, there, in, the, world, ?]"
218,ENTY,plant,"[what, shrubs, can, be, planted, that, will, be, safe, from, deer, ?]"
219,HUM,gr,"[what, organization, 's, offices, were, broken, into, at, watergate, in, 1972, ?]"
220,DESC,desc,"[what, is, the, design, of, the, ship, titanic, ?]"
221,ABBR,exp,"[what, does, s.o.s., stand, for, ?]"
222,ENTY,techmeth,"[name, a, technique, widely, used, to, detect, birth, defects, ?]"
223,DESC,desc,"[what, is, the, daily, requirement, of, folic, acid, for, an, expectant, mother, ?]"
224,DESC,def,"[what, is, the, ``, 7-minute, cigarette, '', ?]"
225,ENTY,other,"[what, four, forms, does, gold, occur, in, ?]"
226,NUM,volsize,"[what, is, the, acreage, of, the, chappellet, vineyard, ?]"
227,DESC,manner,"[how, do, you, correctly, say, the, word, `, qigong, ', ?]"
228,NUM,date,"[when, did, beethoven, die, ?]"
229,NUM,money,"[how, much, does, a, new, railroad, coal, car, cost, ?]"
230,LOC,country,"[what, two, european, countries, entered, the, war, of, american, independence, against, the, british, ?]"
231,DESC,def,"[what, is, the, filmmakers, collabrative, ?]"
232,HUM,ind,"[what, russian, composer, 's, prelude, in, c, sharp, minor, brought, him, fame, and, fortune, ?]"
233,DESC,reason,"[what, caused, harry, houdini, 's, death, ?]"
234,HUM,ind,"[who, was, the, mother, of, the, man, who, would, not, be, king, ,, the, duke, of, windsor, ?]"
235,NUM,count,"[how, many, revolutions, does, a, standard, lp, make, in, three, minutes, ?]"
236,LOC,mount,"[what, is, the, name, of, the, tallest, mountain, in, the, world, ?]"
237,LOC,other,"[where, can, i, find, a, review, of, nightmare, on, elm, street, in, a, film, journal, ?]"
238,ENTY,techmeth,"[what, 's, the, slowest, olympic, swimming, stroke, ?]"
239,HUM,ind,"[what, was, the, name, of, the, first, russian, astronaut, to, do, a, spacewalk, ?]"
240,ENTY,dismed,"[what, disease, is, transmitted, by, the, anopheles, mosquito, ?]"
241,ENTY,food,"[what, rum, is, so, ``, mixable, '', it, is, a, one-brand, bar, ?]"
242,NUM,count,"[how, many, south, american, countries, have, the, letter, z, in, their, names, ?]"
243,DESC,def,"[what, is, the, contents, of, proposition, 98, ?]"
244,LOC,other,"[where, was, george, washington, born, ?]"
245,NUM,count,"[how, many, people, on, the, ground, were, killed, from, the, bombing, of, pan, am, flight, 103, over, lockerbie, ,, scotland, ,, december, 21, ,, cd, .]"
246,HUM,ind,"[who, wrote, nn, dt, nnp, nnp, '', ?]"
247,DESC,def,"[what, is, paracetamol, ?]"
248,DESC,desc,"[what, are, the, powers, and, weaknesses, of, green, lantern, 's, ring, ?]"
249,ENTY,animal,"[which, mosquito, 's, bite, draws, blood, ,, dt, nn, cc, dt, nn, .]"
250,NUM,date,"[when, was, the, first, steel, mill, in, the, united, states, built, ?]"
251,HUM,ind,"[what, diminutive, american, female, gymnast, stole, the, show, at, the, 1984, olympics, ?]"
252,DESC,desc,"[what, is, the, origin, of, the, name, katie, ?]"
253,HUM,gr,"[what, schools, in, the, washington, ,, dc, nn, nn, vbp, nn, nn, nn, nn, .]"
254,NUM,date,"[when, did, the, berlin, wall, go, up, ?]"
255,HUM,desc,"[who, is, terrence, malick, ?]"
256,ENTY,instru,"[what, instrument, is, ray, charles, best, known, for, playing, ?]"
257,DESC,def,"[what, 's, the, meaning, of, the, latin, battle, cry]"
258,ENTY,other,"[what, is, the, mascot, for, notre, dame, university, ?]"
259,LOC,other,"[what, las, vegas, hotel, burned, in, november, ,, 1980, ,, with, the, loss, of, 84, lives, ?]"
260,NUM,date,"[when, did, mount, st., helen, last, have, a, significant, eruption, ?]"
261,ABBR,exp,"[cnn, is, the, abbreviation, for, what, ?]"
262,NUM,date,"[when, did, world, war, i, start, ?]"
263,NUM,count,"[how, many, feet, are, there, in, a, fathom, ?]"
264,DESC,def,"[what, is, a, canada, two-penny, black, ?]"
265,LOC,city,"[what, european, city, do, nicois, live, in, ?]"
266,DESC,manner,"[how, can, i, find, out, what, year, a, beanie, baby, was, introduced, ?]"
267,DESC,def,"[what, is, the, classic, definition, of, tragic, hero, ?]"
268,ENTY,other,"[to, what, does, microsoft, 's, windows, 3, owe, its, success, ?]"
269,HUM,ind,"[who, was, president, of, afghanistan, in, 1994, ?]"
270,ENTY,techmeth,"[what, are, other, ways, of, getting, stretch, marks, besides, pregnancy, ,, weight, loss, ,, and, weight, lifting, ?]"
271,ENTY,food,"[what, did, brontosauruses, eat, ?]"
272,ENTY,color,"[what, color, bottles, do, good, rhine, wines, come, in, ?]"
273,HUM,ind,"[who, was, the, lead, actress, in, the, movie, `, sleepless, in, seattle, ', ?]"
274,HUM,ind,"[who, was, the, 16th, president, of, the, united, states, ?]"
275,HUM,ind,"[who, are, the, two, sons, of, ozzie, and, harriet, nelson, ?]"
276,DESC,def,"[what, is, molybdenum, ?]"
277,NUM,date,"[when, is, boxing, day, ?]"
278,ENTY,other,"[what, is, the, lowest, level, of, the, american, judiciary, ?]"
279,NUM,date,"[when, was, the, battle, of, the, somme, fought, ?]"
280,NUM,count,"[how, many, people, did, randy, craft, kill, ?]"
281,ENTY,animal,"[what, 's, the, official, animal, of, canada, ?]"
282,NUM,date,"[when, did, spielberg, direct, ``, jaws, '', ?]"
283,NUM,volsize,"[what, is, the, size, of, the, largest, akita, ?]"
284,ENTY,animal,"[what, animal, has, the, biggest, eyes, ?]"
285,LOC,city,"[what, is, california, 's, capital, ?]"
286,HUM,ind,"[who, was, the, author, of, the, book, about, computer, hackers, called, ``, the, cuckoo, 's, egg]"
287,HUM,ind,"[who, was, the, founding, member, of, the, pink, floyd, band, ?]"
288,LOC,country,"[what, european, country, is, home, to, the, beer-producing, city, of, budweis, ?]"
289,DESC,manner,"[how, do, i, find, the, balance, of, my, social, security, account, ?]"
290,DESC,desc,"[what, is, the, history, of, valentine, 's, day, cards, ?]"
291,LOC,other,"[where, was, christopher, columbus, born, ?]"
292,ENTY,termeq,"[what, do, italians, call, florence, ?]"
293,DESC,manner,"[how, do, you, get, to, the, top, of, the, eiffel, tower, ?]"
294,ABBR,exp,"[what, does, `, psi, ', stand, for, ?]"
295,LOC,other,"[what, sea, did, the, romans, call, mare, nostrum, ?]"
296,ENTY,termeq,"[what, 's, the, term, for, a, bet, before, cards, are, dealt, ?]"
297,ENTY,animal,"[which, came, first, ,, according, to, genesis, 1]"
298,LOC,city,"[what, city, did, the, flintstones, live, in, ?]"
299,ENTY,termeq,"[what, is, latin, for, incompetent, ?]"
300,ENTY,dismed,"[what, chemicals, are, used, in, lethal, injection, ?]"
301,HUM,gr,"[what, toy, company, is, the, world, 's, no.1, maker, of, female, apparel, ?]"
302,ENTY,sport,"[what, board, game, does, a, ``, wood-pusher, '', play, poorly, ?]"
303,HUM,ind,"[which, doonesbury, character, was, likely, to, turn, into, a, werewolf, ?]"
304,ABBR,abb,"[what, is, the, abbreviation, for, micro, ?]"
305,ENTY,other,"[what, are, the, 7, articles, of, the, constitution, ?]"
306,HUM,gr,"[who, has, won, the, most, super, bowls, ?]"
307,ABBR,exp,"[what, does, nasdaq, stand, for, ?]"
308,ABBR,exp,"[what, is, bph, ?]"
309,ENTY,other,"[what, is, the, fastest, commercial, automobile, that, can, be, bought, in, the, us, ?]"
310,LOC,other,"[what, stadium, do, the, miami, dolphins, play, their, home, games, in, ?]"
311,HUM,ind,"[who, has, the, only, speaking, role, in, ``, silent, movie, '', ?]"
312,DESC,reason,"[why, is, poop, sometimes, different, colors, ?]"
313,NUM,other,"[what, was, einstein, 's, iq, ?]"
314,NUM,date,"[what, day, was, pearl, harbor, attacked, in, 1942, ?]"
315,HUM,ind,"[what, girl, 's, name, is, ``, teddy, '', an, affectionate, form, of, ?]"
316,LOC,state,"[what, state, is, john, f., kennedy, buried, in, ?]"
317,ENTY,techmeth,"[what, is, the, best, way, to, remove, wallpaper, ?]"
318,LOC,state,"[what, u.s., state, has, an, element, named, for, it, ?]"
319,HUM,gr,"[what, company, tabulates, the, ballots, in, voting, for, the, academy, awards, ?]"
320,DESC,manner,"[how, did, the, tradition, of, best, man, start, ?]"
321,NUM,count,"[how, many, years, ago, did, the, ship, titanic, sink, ?]"
322,LOC,other,"[what, is, the, deepest, area, of, the, arctic, ocean, ?]"
323,ENTY,color,"[what, are, halloween, 's, colors, ?]"
324,DESC,manner,"[how, is, silk, screening, done, ?]"
325,NUM,other,"[what, is, the, latitude, and, longitude, of, el, paso, ,, texas, ?]"
326,HUM,ind,"[who, made, a, boat, out, of, gopher, wood, ?]"
327,LOC,other,"[where, can, i, find, a, ``, fifth, element, '', screensaver, ?]"
328,HUM,ind,"[which, bloom, county, resident, wreaks, havoc, with, a, computer, ?]"
329,DESC,manner,"[how, do, you, match, a, name, to, a, social, security, number, ?]"
330,DESC,manner,"[how, does, a, rainbow, form, ?]"
331,NUM,other,"[what, is, the, normal, resting, heart, rate, of, a, healthy, adult, ?]"
332,NUM,other,"[what, is, the, population, of, ohio, ?]"
333,NUM,count,"[how, many, calories, are, there, in, a, big, mac, ?]"
334,DESC,def,"[hazmat, stands, for, what, ?]"
335,ENTY,animal,"[what, creature, scares, people, in, the, film, ``, jaws, '', ?]"
336,HUM,ind,"[what, part, did, john, peter, zenger, play, in, the, deveopment, of, the, newspaper, in, america, ?]"
337,HUM,ind,"[who, followed, caesar, ?]"
338,ENTY,substance,"[what, are, the, four, elements, ?]"
339,HUM,ind,"[who, was, the, first, woman, golfer, to, earn, a, million, ?]"
340,ENTY,other,"[what, 's, the, tallest, piece, on, a, chessboard, ?]"
341,LOC,other,"[what, is, answers.com, 's, address, ?]"
342,LOC,other,"[where, can, i, buy, movies, on, videotape, online, ?]"
343,HUM,ind,"[who, does, the, advertizing, for, frito-lay, ?]"
344,HUM,gr,"[who, is, the, leading, competitor, of, trans, union, company, ?]"
345,ENTY,product,"[what, product, did, robert, conrad, dare, people, to, knock, off, his, shoulder, ?]"
346,HUM,ind,"[who, invented, the, radio, ?]"
347,NUM,count,"[what, 's, the, american, dollar, equivalent, for, 8, pounds, in, the, u.k., ?]"
348,ENTY,techmeth,"[what, are, the, different, approaches, of, systems, analysis, ?]"
349,DESC,manner,"[how, do, doctors, diagnose, bone, cancer, ?]"
350,HUM,ind,"[who, is, the, man, behind, the, pig-the, man, who, pulls, the, strings, and, speaks, for, miss, piggy, ?]"
351,NUM,speed,"[what, is, the, speed, of, the, mississippi, river, ?]"
352,ENTY,other,"[what, are, the, developmental, stages, of, a, swimmer, ?]"
353,HUM,ind,"[what, actor, first, portrayed, james, bond, ?]"
354,LOC,other,"[what, ocean, is, the, largest, in, the, world, ?]"
355,HUM,ind,"[who, was, the, first, american, poet, to, win, the, nobel, prize, for, literature, ,, in, 1948, ?]"
356,NUM,date,"[what, year, did, jack, nicklaus, join, the, professional, golfers, association, tour, ?]"
357,NUM,count,"[how, many, sonnets, did, shakespeare, write, ?]"
358,DESC,reason,"[what, causes, the, redness, in, your, cheeks, when, you, blush, ?]"
359,HUM,ind,"[who, won, the, nobel, peace, prize, in, 1991, ?]"
360,HUM,gr,"[who, are, the, challengers, of, the, unknown, ?]"
361,DESC,def,"[define, the, pheonix, club, ?]"
362,LOC,city,"[which, city, did, christian, crusaders, fight, to, recapture, from, the, muslims, ?]"
363,DESC,def,"[what, does, it, mean, ``, rupee, depreciates, '', ?]"
