A,C,B
DESC, Describe the Long March .,1
DESC, For what reason did some San Diego schools stop serving apples ?,1
DESC, For what reason did the Shea & Gould law firm close their L.A. office ?,1
DESC, From what cause does tuberculosis stem ?,1
DESC, Give a reason for American Indians oftentimes dropping out of school .,1
DESC, Hazmat stands for what ?,1
DESC, How can I call a friend in another country when I do not know the telephone number ?,1
DESC, How can I determine the radius of an ellipse ?,1
DESC, How can I easily remove red wine stains from t-shirts ?,1
DESC, How can I enforce new rules to a group of youngsters who have been allowed to do as they please .,1
DESC," How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?",1
DESC, How can I find a list of celebrities ' real names ?,1
DESC, How can I find a phone number of someone if I only know their email address ?,1
DESC," How can I find online spelling , and punctuation drills for my 6th grader ?",1
DESC, How can I find online spelling ?,1
DESC, How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,1
DESC, How can I find out how much it costs to raise a baby for six months ?,1
DESC, How can I find out my Moon sign ?,1
DESC, How can I find out my biorhythm ?,1
DESC, How can I find out what year a Beanie Baby was introduced ?,1
DESC, How can I find out which cities have cable-modem access ?,1
DESC, How can I gain access to a spy satelite ?,1
DESC, How can I get a CCT diagram ?,1
DESC, How can I get a comic character I made copyrighted and published ?,1
DESC, How can I get in touch with Michael Moore of `` Roger & Me '' ?,1
DESC, How can I get my product licensed by the NBA ?,1
DESC, How can I get rich quick ?,1
DESC, How can I get some free technical information on Electric Vehicle ?,1
DESC, How can I get someone 's email address ?,1
DESC, How can I get someone 's phone number if I only have their screen name ?,1
DESC, How can I get started in writing for television ?,1
DESC, How can I give myself a French manicure ?,1
DESC, How can I look up someone 's E-mail address on the Internet ?,1
DESC, How can I register my website in Yahoo for free ?,1
DESC, How can I search for a word within my own webpage ?,1
DESC, How can I stop or slow down aging ?,1
DESC, How can I trace my family roots ?,1
DESC, How can I transport files from one computer to another ?,1
DESC, How can SQL queries be improved ?,1
DESC, How can a foreigner get a U.S. Social Security card ?,1
DESC, How can anyone tell if a female had sexual intercourse ?,1
DESC," How can people from Ireland come to the U.S. , work , and then return to Ireland ?",1
DESC, How can scientists predict weather by observing clouds ?,1
DESC, How can someone become a federal agent ?,1
DESC, How can you be happy ?,1
DESC, How can you become an FBI agent ?,1
DESC, How can you contact play producers and promoters on-line ?,1
DESC, How can you define time ?,1
DESC, How can you get rust stains out of clothing ?,1
DESC, How can you prevent it ?,1
DESC, How can you stop the itch from poison ivy ?,1
DESC, How can you tell if someone is lying ?,1
DESC, How can you tell when figs are ripe ?,1
DESC, How can your school march in the Macy 's Thanksgiving Parade ?,1
DESC, How close a cousin was Franklin D. to Theodore Roosevelt ?,1
DESC, How come a doughnut has a hole in it ?,1
DESC, How come light bulbs go out ?,1
DESC, How did Asia get its name ?,1
DESC, How did Bob Marley die ?,1
DESC, How did Edith Bunker die ?,1
DESC, How did Jayne Mansfield die ?,1
DESC, How did Lee Harvey Oswald purchase his rifle ?,1
DESC, How did P.T. Barnum bill the diminutive Charles S. Stratton ?,1
DESC, How did Peabody and Sherman travel through time ?,1
DESC, How did Rocky Marciano die ?,1
DESC, How did Socrates die ?,1
DESC, How did Super President gain his powers on the animated series ?,1
DESC, How did U.S.A become involved in the Barbary Wars,1
DESC, How did ` stat ' come to be used as an expression for quickly ?,1
DESC, How did former WWF wrestler Rick Rude die ?,1
DESC, How did names come about ?,1
DESC, How did people respond to the idea of the first millenium ?,1
DESC, How did serfdom develop in and then leave Russia ?,1
DESC, How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,1
DESC, How did the 7th inning stretch get started ?,1
DESC, How did the Great Depression affect Japan 's history ?,1
DESC, How did the Hohenzollerns build their power around 17 ?,1
DESC, How did the U.S. come into the possession of an empire in the wake of the Spanish-American War ?,1
DESC, How did the bikini bathing suite get its name ?,1
DESC, How did the jack-o '-lantern get it 's name ?,1
DESC, How did the months of the year get there name ?,1
DESC, How did the tradition of best man start ?,1
DESC, How did the war of 1812 affect Delaware ?,1
DESC, How did water appear on the earth ?,1
DESC, How do I change a file from an ART file to a JPEG or Bitmap file ?,1
DESC, How do I check if my modem is v.9 compatible ?,1
DESC, How do I contact Answers.com direct ?,1
DESC, How do I contact answers.com ?,1
DESC, How do I do this ?,1
DESC, How do I e-mail someone at aol.com from yahoo.com ?,1
DESC, How do I find a city if I have the area code ?,1
DESC, How do I find a snowboarding website ?,1
DESC, How do I find a web address for a company ?,1
DESC, How do I find if my relatives were on the Trail of Tears ?,1
DESC, How do I find info about rice importers in the world ?,1
DESC, How do I find out about jobs ?,1
DESC, How do I find out the exact time of a sunset for a particular day ?,1
DESC, How do I find out what cities are in a certain area code ?,1
DESC, How do I find the balance of my social security account ?,1
DESC, How do I get a complete list of all the people that are living with the last name Kilvington ?,1
DESC, How do I get another city 's newspaper ?,1
DESC, How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?,1
DESC, How do I give a good massage ?,1
DESC, How do I impress a guy ?,1
DESC, How do I increase my biceps ' size ?,1
DESC, How do I install a tile floor ?,1
DESC, How do I keep cats out of my flower garden for good ?,1
DESC, How do I know how much money to save for retirement ?,1
DESC, How do I know if I 'm jealous of someone ?,1
DESC, How do I know if I am pregnant ?,1
DESC, How do I know someone is truly in love with me ?,1
DESC, How do I legally make my own will and testament ?,1
DESC, How do I log on to home page at Headquarters U.S. European Command ?,1
DESC, How do I love thee ?,1
DESC, How do I make fuel bricks from recycled newspaper ?,1
DESC, How do I register a trade name in North Carolina ?,1
DESC, How do I sing like Elvis Presley ?,1
DESC, How do I start a bank ?,1
DESC, How do I start a web based business ?,1
DESC, How do I stop background noise in a car stereo ?,1
DESC, How do I tie a tie ?,1
DESC, How do I tie dye clothes ?,1
DESC, How do I write to my Congressman ?,1
DESC, How do Ouija Boards work ?,1
DESC, How do anti-locking brakes work ?,1
DESC, How do ants have sex ?,1
DESC, How do birds find their way back to the same place every year ?,1
DESC, How do birds have sex ?,1
DESC, How do boats float ?,1
DESC, How do cameras take pictures ?,1
DESC, How do chickens have baby chicks ?,1
DESC, How do clouds form ?,1
DESC, How do companies cut paper so thin ?,1
DESC, How do doctors diagnose bone cancer ?,1
DESC, How do fuel injectors work ?,1
DESC, How do hermit crabs reproduce ?,1
DESC, How do microwaves work ?,1
DESC, How do movie blues screens work ?,1
DESC, How do plants make food ?,1
DESC, How do storms form ?,1
DESC, How do telephones work ?,1
DESC, How do they find an epicenter ?,1
DESC, How do they find or choose witnesses to an execution ?,1
DESC, How do they get Teflon to stick to the pan ?,1
DESC, How do they produce vitamins ?,1
DESC, How do they raise the cranes when building high-rise buildings ?,1
DESC, How do they type Chinese characters on a keyboard ?,1
DESC, How do vending machines tell if your dollar is a 1 or a 5 ?,1
DESC, How do wasps make their nests ?,1
DESC, How do websites like Yahoo and Excite make money ?,1
DESC, How do windmills work ?,1
DESC, How do you address a Chinese person ?,1
DESC, How do you ask a total stranger out on a date ?,1
DESC, How do you ask questions ?,1
DESC, How do you become a dentist ?,1
DESC, How do you box train a cat ?,1
DESC, How do you build a solar car for a high school experiment ?,1
DESC, How do you buy stocks ?,1
DESC, How do you calculate the change in enthalpy of a chemical reaction ?,1
DESC, How do you clean an LCD monitor screen ?,1
DESC, How do you clean badly tarnished brass ?,1
DESC, How do you clean up a cache ?,1
DESC, How do you convert foot-pounds to foot-inches ?,1
DESC, How do you correctly say the word ` qigong ' ?,1
DESC, How do you determine heating requirements for your home ?,1
DESC, How do you determine if a computer monitor has an SVGA adapter ?,1
DESC, How do you do a bibliography page ?,1
DESC, How do you do a bibliography with an unknown author ?,1
DESC, How do you do a topic outline ?,1
DESC, How do you dunk ?,1
DESC, How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,1
DESC, How do you find out what is allowed to claim as a contibution for income tax purposes ?,1
DESC, How do you find oxidation numbers ?,1
DESC, How do you find the area of a circle ?,1
DESC, How do you fix squeaky floors ?,1
DESC, How do you get a broken cork out of a bottle ?,1
DESC, How do you get a girl to have sex with you ?,1
DESC, How do you get a pointsettia to turn red ?,1
DESC, How do you get bubblegum out of carpet ?,1
DESC, How do you get dates with the `` Hooters '' girls ?,1
DESC, How do you get rid on woodpeckers ?,1
DESC, How do you get silly putty out of fabric ?,1
DESC, How do you get to the top of the Eiffel Tower ?,1
DESC, How do you handle a hungry man ?,1
DESC, How do you identify prime numbers ?,1
DESC, How do you look up criminal records on the Internet ?,1
DESC, How do you make a computer chip ?,1
DESC, How do you make a million bucks ?,1
DESC, How do you make a paintball ?,1
DESC, How do you make dumplings ?,1
DESC, How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,1
DESC, How do you make the color purple ?,1
DESC, How do you match a name to a social security number ?,1
DESC, How do you measure the heat of the sun ?,1
DESC, How do you pronounce `` Tzimisce '' ?,1
DESC, How do you recognize anorexia ?,1
DESC, How do you reference a website ?,1
DESC, How do you select wine ?,1
DESC, How do you send a movie transcript to Hollywood so that it can be produced into a film ?,1
DESC, How do you solve `` Rubik 's Cube '' ?,1
DESC, How do you stop junk snail mail ?,1
DESC, How do you tell somebody you like them ?,1
DESC, How do you tell your parents you are dating an older man ?,1
DESC, How do you throw a housewarming party ?,1
DESC, How do you use `` farther '' as opposed to `` further '' ?,1
DESC, How do you use an intranet ?,1
DESC, How do you write MLA style bibliographies for an Internet source ?,1
DESC, How do you write a book report ?,1
DESC, How do you write a correct critical analysis of a poem ?,1
DESC, How does Belle describe her life in Beauty and the Beast ?,1
DESC," How does Cos Cob , CT get its name ?",1
DESC, How does General Mills manufacture Cheerios ?,1
DESC, How does James Bond like his martinis ?,1
DESC, How does Zatanna perform her magic in DC comics ?,1
DESC, How does a bill become law ?,1
DESC, How does a chick breathe inside an egg ?,1
DESC, How does a copier work ?,1
DESC, How does a glacier form ?,1
DESC, How does a hurricane form ?,1
DESC, How does a hydroelectric dam work ?,1
DESC, How does a parachute work ?,1
DESC, How does a rainbow form ?,1
DESC, How does a scientific calculator work ?,1
DESC, How does a small businessman contact the Good Humor Ice Cream company to do business with them ?,1
DESC, How does a submarine operate ?,1
DESC, How does an abacus work ?,1
DESC, How does an ion drive work ?,1
DESC, How does blood clot ?,1
DESC, How does color affect a person psychologically ?,1
DESC, How does crosstalk relate to InSb thickness in infrared detectors ?,1
DESC, How does food color affect how you think it will taste ?,1
DESC, How does hair curl ?,1
DESC, How does it make its colors ?,1
DESC, How does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' .,1
DESC, How does lightning travel ?,1
DESC, How does marijuana lead to other drugs ?,1
DESC, How does marl form and what mineral does it contain ?,1
DESC, How does one correctly pronounce ` qigong ' ?,1
DESC, How does psorisis disappear ?,1
DESC, How does rabies spread ?,1
DESC, How does salt melt ice and snow ?,1
DESC, How does the Elongated Man know a mystery is afoot ?,1
DESC, How does the Nintendo `` Zapper '' work ?,1
DESC, How does the car in `` Christine '' become possessed ?,1
DESC, How does the chain of command work inside an US army Apache helicopter ?,1
DESC, How does the speed the magnet spins in a generator affect the output of the generator ?,1
DESC, How does the tail affect the flight of a kite ?,1
DESC, How does ultraviolet light damage the DNA of skin cells ?,1
DESC, How effective are condoms in protecting against AIDS ?,1
DESC, How has TV affected our society ?,1
DESC, How is Abigail Arcane related to the villainous opponent of the Swamp Thing ?,1
DESC, How is Answers.com different from KnowPost.com ?,1
DESC, How is Answers.com funded ?,1
DESC, How is Easter Sunday 's date determined ?,1
DESC, How is Paraguay for vacations ?,1
DESC, How is ` qigong ' properly pronounced ?,1
DESC, How is a hydrogen bomb different from a nuclear bomb ?,1
DESC, How is an executioner determined ?,1
DESC, How is bubble wrap made ?,1
DESC, How is carbon dioxide removed from natural gas ?,1
DESC, How is cologne made ?,1
DESC, How is digital audio used ?,1
DESC, How is energy created ?,1
DESC, How is it correct to say ` qigong ' ?,1
DESC, How is plastic made ?,1
DESC, How is saline used in medicine ?,1
DESC, How is silk screening done ?,1
DESC, How is thalassemia defined ?,1
DESC, How is the election of a new Pope announced to the world ?,1
DESC, How is the element strontium purified ?,2
DESC, How is the new Ford Econoline van F25 V1 engine ?,1
DESC, How is the word ` qigong ' pronounced ?,1
DESC, How is water treated to make it safe to drink ?,1
DESC, How successful is arometherapy ?,1
DESC, How was Lawrence,1
DESC, How was Teddy Roosevelt related to FDR ?,1
DESC, How was the ACLU formed ?,1
DESC, How was the Kennedy money made ?,1
DESC, How was the element calcium named ?,1
DESC, How were the days of the week named ?,1
DESC, How would I find the price of different organs that have been donated ?,1
DESC, How would someone go about becoming an organ donor ?,1
DESC, How you can raise your IQ ?,1
DESC," In My Antonia , how is Mr. Shimerda out of place on the farm ?",1
DESC," In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?",1
DESC," In the song `` Yankee Doodle , '' why did Yankee Doodle stick a feather in his cap and call it macaroni ?",1
DESC, Shea and Gould closed their Los Angeles office for what reason ?,1
DESC, What 's a `` coup de poing '' to a French boxer ?,1
DESC, What 's a male `` cuckquean '' ?,1
DESC, What 's a short ton ?,1
DESC, What 's a water funnel ?,1
DESC, What 's an auberge in France ?,1
DESC, What 's distinctive about a palmiped 's feet ?,1
DESC, What 's nature 's purpose for tornadoes ?,1
DESC, What 's new in the postal world in 1999 ?,1
DESC, What 's the Olympic motto ?,1
DESC, What 's the Red Planet ?,1
DESC, What 's the claim to fame of night watchman Frank Wills ?,1
DESC, What 's the difference and advantages of selecting a Super VHS VCR over plain VHS model ?,1
DESC, What 's the difference between J.D. and LL.M. ?,1
DESC, What 's the difference between TFT and dual-scan display ?,1
DESC, What 's the difference between carelessness and carefreeness ?,1
DESC, What 's the difference between sleet and freezing rain ?,1
DESC, What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,1
DESC, What 's the last line of Dickens 's A Christmas Carol ?,1
DESC, What 's the meaning of UOL ?,1
DESC, What 's the meaning of the Latin battle cry ,1
DESC, What 's the meaning of the name Tatiana ?,1
DESC, What 's the meaning of the zoological term ruminant ?,1
DESC, What 's the motto of the Boy Scouts ?,1
DESC, What 's the mystery of the Bermuda Triangle ?,1
DESC, What 's the origin of the word ` news ' ?,1
DESC, What 's the proud claim to fame of the young women who formed Kappa Alpha Theta ?,1
DESC, What 's the rathaus in Frankfurt ?,1
DESC, What 's the setting of John Le Carre 's A Small Town in Germany ?,1
DESC, What 's the staff of life mentioned in the Lord 's Prayer ?,1
DESC, What 's the state motto of California ?,1
DESC," What according to the Kinsey Institute , is the sexual preference of four percent of American males ?",1
DESC, What are Bellworts ?,1
DESC, What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,1
DESC," What are Cobol , Fortran , and Pascal ?",1
DESC, What are Cushman and Wakefield known for ?,1
DESC, What are Fortune 500 companies ?,1
DESC," What are Kythnos , Siphnos , Seriphos and Mykonos ?",1
DESC, What are Maid-Rites ?,2
DESC, What are `` inkhorn terms '' ?,1
DESC, What are a baseball team 's firemen ?,1
DESC, What are amaretto biscuits ?,1
DESC, What are amicable numbers ?,1
DESC, What are amphibians ?,1
DESC, What are bear and bull markets ?,1
DESC, What are binomial coefficients ?,1
DESC, What are boxcars ?,1
DESC, What are chloroplasts ?,1
DESC, What are differences between 1980 and 1990 ?,1
DESC, What are dingoes ?,1
DESC, What are equity securities ?,1
DESC, What are faults in the earth 's crust ?,1
DESC, What are field effect transistors ?,1
DESC, What are geckos ?,1
DESC, What are hook worms ?,1
DESC, What are liver enzymes ?,1
DESC, What are manifest and latent function theories ?,1
DESC, What are my legal rights in an automobile repossession in California ?,1
DESC, What are people doing to help prevent the extinction of birds ?,1
DESC, What are perfect tenses ?,1
DESC, What are pomegranates ?,1
DESC, What are shooting stars ?,1
DESC, What are snowballs to a hot-rodder ?,1
DESC, What are some chemical properties of mendelevium ?,1
DESC, What are some children 's rights ?,1
DESC," What are some fun things to do in Cozumel , Mexico for teenagers ?",1
DESC, What are some interesting facts and information about dogsledding ?,1
DESC, What are tannins ?,1
DESC, What are the Arabic Numerals from 1 to 10 ?,1
DESC, What are the Baltic States ?,1
DESC, What are the Greek numerals ?,1
DESC, What are the Low Countries ?,1
DESC, What are the Poconos ?,1
DESC, What are the Twin Cities ?,1
DESC, What are the Urals ?,1
DESC, What are the Valdez Principles ?,1
DESC, What are the `` Star Wars '' satellites ?,1
DESC, What are the alveoli ?,1
DESC, What are the benefits of a rowing machine ?,1
DESC, What are the benefits of home school ?,1
DESC, What are the cookies in Internet ?,1
DESC, What are the current immigration laws in US ?,1
DESC, What are the distinct physical characterstics of the Arabian horse ?,1
DESC, What are the environmental influences on plant genetics ?,1
DESC," What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?",1
DESC, What are the limits to `` self-defense ? '',1
DESC, What are the living conditions in Cuba ?,1
DESC, What are the lyrics to `` Smelly Cat '' ?,1
DESC, What are the lyrics to the Star Spangled Banner ?,1
DESC, What are the major differences in the Catholic and Methodist religions ?,1
DESC, What are the medical purposes of `` clitoridectomy '' ?,1
DESC, What are the most common causes of death in the U.S. ?,1
DESC, What are the powers and weaknesses of Green Lantern 's ring ?,1
DESC, What are the requirements for becoming a citizen of Australia ?,1
DESC, What are the rules to `` snow golf '' ?,1
DESC, What are the seven deadly sins ?,1
DESC, What are the seven virtues ?,1
DESC, What are the short- and long-term effects of underage drinking ?,1
DESC, What are the side effects of mevacor ?,1
DESC, What are the words to `` My Way '' written by Paul Anka ?,1
DESC, What are the words to the Canadian National anthem ?,1
DESC," What are the words to the cd Eminem 's , or slim shady , `` My Name Is '' ?",1
DESC, What are the words to the song sung by `` Banana in Pajamas '' ?,1
DESC, What are those little blue reflectors in the middle of the road for ?,1
DESC, What are tonsils for ?,1
DESC, What are values ?,1
DESC," What are vermicilli , rigati , zitoni , and tubetti ?",1
DESC, What are you hearing when you put a seashell to your ear ?,1
DESC, What baseball expression came from the nautical term for ships sailing between the Atlantic and Pacific before the Panama Canal ?,1
DESC, What can I do to get into an Ivy League school ?,1
DESC, What can be done about snoring ?,1
DESC, What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,1
DESC, What caused Harry Houdini 's death ?,1
DESC, What caused Shea & Gould to close their L.A. office ?,1
DESC, What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?,1
DESC, What caused the Lynmouth floods ?,1
DESC, What caused the Titanic to sink ?,1
DESC, What caused the death of Bob Marley ?,1
DESC, What caused the division between the Anglicans and the Vatican ?,1
DESC, What causes `` rolling thunder '' ?,1
DESC, What causes a person to have constantly sweaty hands and feet ?,1
DESC, What causes an earthquake ?,1
DESC, What causes asthma ?,1
DESC, What causes blue balls ?,1
DESC, What causes canker sores in the mouth ?,1
DESC, What causes headaches ?,1
DESC, What causes panic attacks ?,1
DESC, What causes pneumonia ?,1
DESC, What causes rust ?,2
DESC, What causes someone to be ticklish ?,1
DESC, What causes the body to shiver in cold temperatures ?,1
DESC, What causes the redness in your cheeks when you blush ?,1
DESC, What causes tuberculosis ?,1
DESC, What characteristics contribute to its `` intelligence '' ?,1
DESC," What clause in the U.S. Constitution may not be changed , altered or amended ?",1
DESC, What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?,1
DESC, What did Cool Hand Luke go to jail for ?,1
DESC, What did Delilah do to Samson 's hair ?,1
DESC," What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?",1
DESC, What did John F. Kennedy consider his greatest blunder in office ?,1
DESC, What did John Hinckley do to impress Jodie Foster ?,1
DESC, What did Lenny Bruce say that got him arrested ?,1
DESC, What did Mighty Mouse always sing as he went into action ?,1
DESC, What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,1
DESC, What did n't Rocky Marciano do in his pro boxing career ?,1
DESC, What did the Confederate Constitution say about slavery ?,1
DESC, What did the only repealed amendment to the U.S. Constitution deal with ?,1
DESC," What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?",1
DESC, What do Christian Scientists believe in ?,1
DESC," What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?",1
DESC, What do I have to do to get good grades in school ?,1
DESC," What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",1
DESC, What do I need to learn to design web pages ?,1
DESC, What do Japanese school uniforms look like ?,1
DESC, What do Mormons believe ?,1
DESC, What do a diamond and lump of coal have in common ?,1
DESC, What do bee hives do in cranberry bogs ?,1
DESC, What do economists do ?,1
DESC, What do insects do through their spiracles ?,1
DESC, What do players try to do when the music stops in a game of musical chairs ?,1
DESC, What do pointed letters mean to a handwriting analyst ?,1
DESC, What do the 12 days of Christmas mean ?,1
DESC, What do the figures represent on the Easter Island ?,1
DESC, What do the names Andrew and Christina mean ?,1
DESC," What do the names Neil , Mary , and Anthony mean ?",1
DESC," What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?",1
DESC, What do the red-and-white stripes on a barbershop pole stand for ?,1
DESC, What do you do when your mouse is n't working as fast as it 's supposed to ?,1
DESC, What do you know about multicultural and multilingual schools ?,1
DESC, What do you need to do to marry someone in jail ?,1
DESC, What do you say to a friend who ignores you for other friends ?,1
DESC, What does Aaron mean ?,1
DESC, What does Choo Choo Charlie say ?,1
DESC, What does Elysium mean ?,1
DESC, What does Esa-Pekka Salonen look like ?,1
DESC, What does Freddy Freeman say to become Captain Marvel Jr. ?,1
DESC, What does Inuit and Eskimo mean ?,1
DESC, What does Las Vegas mean ?,1
DESC, What does Lloyd 's Lutine Bell announce ?,1
DESC, What does Melissa mean ?,1
DESC, What does N est-ce pas mean ?,1
DESC, What does Ouija mean ?,1
DESC, What does Robert mean ?,1
DESC, What does Tiffany mean ?,1
DESC, What does Venus Retrograde mean ?,1
DESC, What does `` E Pluribus Unum '' on the penny mean ?,1
DESC, What does `` Janelle '' mean ?,1
DESC, What does `` Philebus-like '' mean ?,1
DESC, What does `` Semper Fidelis '' mean ?,1
DESC, What does `` antidisestablishmentarianism '' mean ?,1
DESC, What does `` extended definition '' mean and how would one write a paper on it ?,1
DESC, What does `` intractable plantar keratoma '' mean ?,1
DESC, What does `` saute '' mean ?,1
DESC, What does a nihilist believe in ?,1
DESC, What does a red flag mean in auto racing ?,1
DESC, What does an echidna look like ?,1
DESC, What does an emperor do ?,1
DESC, What does appropriates money mean ?,1
DESC," What does caliente mean , in English ?",1
DESC, What does camera-ready art mean ?,1
DESC, What does e=mc2 mean ?,1
DESC, What does gringo mean ?,1
DESC, What does hazmat stand for ?,1
DESC, What does idle mean ?,1
DESC, What does it mean `` Rupee Depreciates '' ?,1
DESC, What does laser stand for ?,1
DESC, What does palindromic mean ?,1
DESC, What does seccession mean ?,1
DESC, What does storm wave mean in Japanese ?,1
DESC, What does the Georgetown `` Hoya '' mean ?,1
DESC," What does the Greek word polis mean , as in Minneapolis ?",1
DESC, What does the Latin ante mortem mean ?,1
DESC, What does the donation process entail ?,1
DESC, What does the dot on the letter i mean ?,1
DESC, What does the double-O indicate in 007 ?,1
DESC, What does the name Billie mean ?,1
DESC, What does the name Calder mean ?,1
DESC, What does the name Gina mean ?,1
DESC, What does the name Jenna mean ?,1
DESC, What does the name Kelly mean ?,1
DESC, What does the name Melissa mean ?,1
DESC, What does the name Shawn mean ?,1
DESC, What does the name ` Alexandra ' mean ?,1
DESC, What does the name `` Anthony '' mean ?,1
DESC, What does the name `` Justin '' mean ?,1
DESC, What does the name `` Sabrina '' mean ?,1
DESC, What does the name `` Sheri '' mean ?,1
DESC, What does the number 33 on the Rolling Rock beer bottle mean ?,1
DESC, What does the term 3 mean to a newspaper editor ?,1
DESC, What does the term `` spaghetti western '' mean ?,1
DESC, What does the term glory hole mean ?,1
